year,id,title,link,status,author,cofauthor,corauthor,level,venue,note
2025,23,Improving Retrieval-Augmented Deep Assertion Generation via Joint Training,https://doi.org/10.1109/TSE.2025.3545970,pb,"Quanjun Zhang, Chunrong Fang, Yi Zheng, Ruixiang Qian, Shengcheng Yu, Yuan Zhao, Jianyi Zhou, Yun Yang, Tao Zheng, Zhenyu Chen",/,Chunrong Fang,CCF-A,IEEE Transactions on Software Engineering (TSE),
2025,22,Enhanced Crowdsourced Test Report Prioritization via Image-and-Text Semantic Understanding and Feature Integration,https://doi.org/10.1109/TSE.2024.3516372,pb,"Chunrong Fang, Shengcheng Yu, Quanjun Zhang, Xin Li, Yulei Liu, Zhenyu Chen",/,Shengcheng Yu,CCF-A,IEEE Transactions on Software Engineering (TSE),
2024,21,Redefining Crowdsourced Test Report Prioritization: An Innovative Approach with Large Language Model,https://doi.org/10.1016/j.infsof.2024.107629,pb,"Yuchen Ling, Shengcheng Yu, Chunrong Fang, Guobin Pan, Jun Wang, Jia Liu",/,"Chunrong Fang, Jia Liu",CCF-B,Information and Software Technology (IST),
2024,20,"Practical, Automated Scenario-based Mobile App Testing",https://doi.org/10.1109/TSE.2024.3414672,pb,"Shengcheng Yu, Chunrong Fang, Mingzhe Du, Zimin Ding, Zhenyu Chen, Zhendong Su",/,Chunrong Fang,CCF-A,IEEE Transactions on Software Engineering (TSE),
2024,19,"Effective, Platform-Independent GUI Testing via Image Embedding and Reinforcement Learning",https://doi.org/10.1145/3674728,pb,"Shengcheng Yu, Chunrong Fang, Xin Li, Yuchen Ling, Zhenyu Chen, Zhendong Su",/,Chunrong Fang,CCF-A,ACM Transactions on Software Engineering and Methodology (TOSEM),
2024,18,Semi-Supervised Crowdsourced Test Report Clustering via Screenshot-Text Binding Rules,https://doi.org/10.1145/3660776,pb,"Shengcheng Yu, Chunrong Fang, Quanjun Zhang, Mingzhe Du, Jia Liu, Zhenyu Chen",/,"Chunrong Fang, Jia Liu, Zhenyu Chen",CCF-A,ACM International Conference on the Foundations of Software Engineering (FSE),
2024,17,Practical Non-Intrusive GUI Exploration Testing with Visual-based Robotic Arms,https://doi.org/10.1145/3597503.3639161,pb,"Shengcheng Yu, Chunrong Fang, Mingzhe Du, Yuchen Ling, Zhenyu Chen, Zhendong Su",/,Chunrong Fang,CCF-A,IEEE/ACM International Conference on Software Engineering (ICSE),
2023,16,"LLM for Test Script Generation and Migration: Challenges, Capabilities, and Opportunities",https://doi.org/10.1109/QRS60937.2023.00029,pb,"Shengcheng Yu, Chunrong Fang, Yuchen Ling, Chentian Wu, Zhenyu Chen",/,Chunrong Fang,CCF-C,"IEEE International Conference on Software Quality, Reliability, and Security (QRS)",
2023,15,Towards Effective Bug Reproduction for Mobile Applications,https://doi.org/10.1109/DSA59317.2023.00024,pb,"Xin Li, Shengcheng Yu, Lifan Sun, Yuexiao Liu, Chunrong Fang","Xin Li, Shengcheng Yu",Chunrong Fang,/,International Conference on Dependable Systems and Their Applications (DSA),Best Paper Award
2023,14,Mobile App Crowdsourced Test Report Consistency Detection via Deep Image-and-Text Fusion Understanding,https://doi.org/10.1109/TSE.2023.3285787,pb,"Shengcheng Yu, Chunrong Fang, Quanjun Zhang, Zhihao Cao, Yexiao Yun, Zhenfei Cao, Kai Mei, Zhenyu Chen",/,Chunrong Fang,CCF-A,IEEE Transactions on Software Engineering (TSE),
2023,13,Test Report Generation for Android App Testing via Heterogeneous Data Analysis,https://doi.org/10.1109/TSE.2023.3237247,pb,"Chunrong Fang, Shengcheng Yu, Ting Su, Jing Zhang, Yuanhan Tian, Yang Liu (Co-first Author)","Chunrong Fang, Shengcheng Yu","Chunrong Fang, Ting Su",CCF-A,IEEE Transactions on Software Engineering (TSE),
2023,12,Leveraging Android Automated Testing to Assist Crowdsourced Testing,https://doi.org/10.1109/TSE.2022.3216879,pb,"Xiuting Ge, Shengcheng Yu, Chunrong Fang, Qi Zhu, Zhihong Zhao",/,Chunrong Fang,CCF-A,IEEE Transactions on Software Engineering (TSE),
2022,11,SemCluster: A Semi-Supervised Clustering Tool for Crowdsourced Test Reports with Deep Image Understanding,https://doi.org/10.1145/3540250.3558933,pb,"Mingzhe Du, Shengcheng Yu, Chunrong Fang, Tongyu Li, Heyuan Zhang, Zhenyu Chen",/,Chunrong Fang,CCF-A,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE) - Demonstrations Track,
2022,10,Test Case Prioritization Using Partial Attention,https://doi.org/10.1016/j.jss.2022.111419,pb,"Quanjun Zhang, Chunrong Fang, Weisong Sun, Shengcheng Yu, Yutao Xu, Yulei Liu",/,Chunrong Fang,CCF-B,Journal of Systems and Software (JSS),
2022,9,UniRLTest: Universal Platform-Independent Testing with Reinforcement Learning via Image Understanding,https://doi.org/10.1145/3533767.3543292,pb,"Ziqian Zhang, Yulei Liu, Shengcheng Yu, Xin Li, Yexiao Yun, Chunrong Fang, Zhenyu Chen",/,Chunrong Fang,CCF-A,ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA) - Tool Demonstrations Track,
2021,8,Layout and Image Recognition Driving Cross-platform Automated Mobile Testing,https://doi.org/10.1109/ICSE43902.2021.00139,pb,"Shengcheng Yu, Chunrong Fang, Yexiao Yun, Yang Feng",/,Chunrong Fang,CCF-A,IEEE/ACM International Conference on Software Engineering (ICSE),
2021,7,Prioritize Crowdsourced Test Reports via Deep Screenshot Understanding,https://doi.org/10.1109/ICSE43902.2021.00090,pb,"Shengcheng Yu, Chunrong Fang, Zhenfei Cao, Xu Wang, Tongyu Li, Zhenyu Chen",/,Chunrong Fang,CCF-A,IEEE/ACM International Conference on Software Engineering (ICSE),
2020,6,STIFA: Crowdsourced Mobile Testing Report Selection Based on Text and Image Fusion Analysis,https://doi.org/10.1145/3324884.3415300,pb,"Zhenfei Cao, Xu Wang, Shengcheng Yu, Yexiao Yun, Chunrong Fang",/,Chunrong Fang,CCF-A,IEEE/ACM International Conference on Automated Software Engineering (ASE) - Tool Demonstrations Track,
2020,5,FuRong: Fusing Report of Automated Android Testing on Multi-Devices,https://doi.org/10.1145/3377812.3382138,pb,"Yuanhan Tian, Shengcheng Yu, Chunrong Fang, Peiyuan Li","Yuanhan Tian, Shengcheng Yu",Chunrong Fang,CCF-A,IEEE/ACM International Conference on Software Engineering (ICSE) - Demonstrations Track,
2019,4,LIRAT: Layout and Image Recognition Driving Automated Mobile Testing of Cross-Platform,https://doi.org/10.1109/ASE.2019.00103,pb,"Shengcheng Yu, Chunrong Fang, Yang Feng, Wenyuan Zhao, Zhenyu Chen",/,Chunrong Fang,CCF-A,IEEE/ACM International Conference on Automated Software Engineering (ASE) - Demonstrations Track,
2019,3,Crowdsourced Report Generation via Bug Screenshot Understanding,https://doi.org/10.1109/ASE.2019.00161,pb,Shengcheng Yu,/,/,CCF-A,IEEE/ACM International Conference on Automated Software Engineering (ASE) - Student Research Competition Track,First Place Award (Undergraduate) Winner
2019,2,From Data Quality to Model Quality: an Exploratory Study on Deep Learning,https://doi.org/10.1145/3361242.3361260,pb,"Tianxing He, Shengcheng Yu, Ziyuan Wang, Jieqiong Li, Zhenyu Chen",/,"Ziyuan Wang, Zhenyu Chen",CCF-C,Asia-Pacific Symposium on Internetware (Internetware),
2019,1,An Exploratory Study on Judicial Image Quality Assessment Based on Deep Learning,https://doi.org/10.1109/QRS.2019.00046,pb,"Qiqi Gu, Weilin Cai, Shengcheng Yu, Zhenyu Chen",/,/,CCF-C,"IEEE International Conference on Software Quality, Reliability, and Security (QRS)",
